"Freq [GHz]","dB(S(1,1)) []"
4.74,-7.65033014272135
4.75,-3.74253824688848
4.76,-2.22924830232086
4.77,-1.63816565324819
4.78,-1.399168570088
4.79,-1.32193282427773
4.8,-1.33600681001718
4.81,-1.41412199466394
4.82,-1.5475145629689
4.83,-1.73721070504692
4.84,-1.99092387981218
4.85,-2.32217137981386
4.86,-2.75016729756999
4.87,-3.29932278324861
4.88,-3.99716245263103
4.89,-4.87393172828806
4.9,-5.97495265487436
4.91,-7.33067493653374
4.92,-8.79264936201917
4.93,-9.85666962737592
4.94,-9.86658886845468
4.95,-8.87032005165979
4.96,-7.54087866854124
4.97,-6.34036685422815
4.98,-5.38170541705759
4.99,-4.60748667361395
5,-3.96204005148877
5.01,-3.42596938850128
5.02,-2.98606604859694
5.03,-2.62699415468802
5.04,-2.33393990532696
5.05,-2.09464937247708
5.06,-1.90014603902897
5.07,-1.74522304680947
5.08,-1.6296551250716
5.09,-1.56074746382496
5.1,-1.55387778811819
5.11,-1.60651048481742
5.12,-1.63017931770028
5.13,-1.5426207387961
5.14,-1.40824098196736
5.15,-1.28930671820639
5.16,-1.19659908810631
5.17,-1.12509646445397
5.18,-1.06902557469136
5.19,-1.02429146719855
5.2,-0.988379900596187
5.21,-0.960191460793214
5.22,-0.939804697491586
5.23,-0.927491816182686
5.24,-0.922778496582135
5.25,-0.924996977404252
5.26,-0.934199711977612
5.27,-0.951349678527278
5.28,-0.978250489946941
5.29,-1.01762912075382
5.3,-1.07342593216239
5.31,-1.1512712604254
5.32,-1.25911020340584
5.33,-1.40779427188297
5.34,-1.61098406758787
5.35,-1.88255661891955
5.36,-2.227542429031
5.37,-2.62110910911708
5.38,-2.98082460115444
5.39,-3.17617608892533
5.4,-3.12322136846997
5.41,-2.86857070801462
5.42,-2.5311594704866
5.43,-2.20257030790054
5.44,-1.92187546695372
5.45,-1.6955256975319
5.46,-1.51721081162436
5.47,-1.37783836383951
5.48,-1.26912342258403
5.49,-1.18442036654614
5.5,-1.11882383678497
5.51,-1.06968170044321
5.52,-1.0375726334083
5.53,-1.02628071172111
5.54,-1.03588931278472
5.55,-1.02989189372957
5.56,-0.97127938071538
5.57,-0.924727542547604
5.58,-0.913441296604918
5.59,-0.928086480672157
5.6,-0.964350413822554
5.61,-1.02347055769068
5.62,-1.11008981051672
5.63,-1.23116794129999
5.64,-1.39451123514963
5.65,-1.60507616890234
5.66,-1.85732761911926
5.67,-2.12480959935829
5.68,-2.35414511512157
5.69,-2.47377393065793
5.7,-2.42848039760836
5.71,-2.22972666766569
5.72,-1.95414491806881
5.73,-1.67964131144296
5.74,-1.44545844760439
5.75,-1.25879070698177
5.76,-1.11339351487464
5.77,-1.00086779288233
5.78,-0.914090482387363
5.79,-0.847656991521669
5.8,-0.797807745423476
5.81,-0.762326161438493
5.82,-0.74055697366764
5.83,-0.733701110170534
5.84,-0.745587177576469
5.85,-0.784065743354334
5.86,-0.861822567839406
5.87,-0.987463666128553
5.88,-1.14806029371805
5.89,-1.33813743734282
5.9,-1.42254130162819
5.91,-1.31187493614246
5.92,-1.13274962459681
5.93,-0.981962090762896
5.94,-0.874874791298771
5.95,-0.801718558958815
5.96,-0.751817541028013
5.97,-0.717702489131573
5.98,-0.694602350108698
5.99,-0.679516791859721
6,-0.670555963510673
