antenna_id	resonant_freq_ghz	depth_db	prominence_db	confidence	method
29639	6.000000000	-0.368611	0.000000	0.000000	global_min_fallback
20509	3.916666746	-2.717714	4.213140	0.125382	global_min_fallback
5114	4.500000000	-18.667189	5.933427	0.458079	global_min_fallback
14152	6.000000000	-0.320228	0.000000	0.000000	global_min_fallback
29608	6.000000000	-0.299363	0.000000	0.000000	global_min_fallback
13285	5.000000000	-14.449704	5.292444	0.353637	global_min_fallback
26179	6.000000000	-12.034784	0.000000	0.063226	global_min_fallback
17600	5.000000000	-1.327302	6.840814	0.187162	global_min_fallback
21811	4.583333492	-2.773810	4.087049	0.138218	global_min_fallback
10336	4.833333492	-3.107649	2.292577	0.070977	global_min_fallback
18011	6.000000000	-0.295966	0.000000	0.000000	global_min_fallback
14198	4.333333492	-4.230730	5.377310	0.154750	global_min_fallback
12163	3.583333254	-1.693091	4.315137	0.128074	global_min_fallback
13228	5.166666508	-7.609767	3.068937	0.158808	global_min_fallback
736	2.833333254	-0.412345	0.821249	0.025811	global_min_fallback
27219	6.000000000	-0.336854	0.000000	0.000000	global_min_fallback
6146	6.000000000	-0.326733	0.000000	0.000000	global_min_fallback
18194	6.000000000	-6.917005	0.000000	0.000000	global_min_fallback
12499	6.000000000	-0.368476	0.000000	0.000000	global_min_fallback
21929	3.416666746	-3.700665	2.655101	0.094406	global_min_fallback
24093	4.166666508	-2.278673	2.304839	0.071344	global_min_fallback
10977	3.916666746	-0.423262	2.689439	0.082732	global_min_fallback
3967	6.000000000	-0.397763	0.000000	0.000000	global_min_fallback
78	4.750000000	-4.061347	5.301234	0.152925	global_min_fallback
4795	4.333333492	-1.875004	5.197710	0.152555	global_min_fallback
1912	4.250000000	-0.345924	0.715981	0.022515	global_min_fallback
22878	6.000000000	-0.370986	0.000000	0.000000	global_min_fallback
12047	6.000000000	-0.907241	0.000000	0.000000	global_min_fallback
23593	3.916666746	-13.786143	6.363414	0.360397	global_min_fallback
27760	6.000000000	-0.375159	0.000000	0.000000	global_min_fallback
15912	6.000000000	-7.840298	0.000000	0.000000	global_min_fallback
20753	5.250000000	-5.862976	7.607109	0.202071	global_min_fallback
29761	5.000000000	-6.779463	4.668245	0.137223	global_min_fallback
26134	4.833333492	-2.363350	5.018898	0.146035	global_min_fallback
3411	5.500000000	-4.179827	3.923216	0.117608	global_min_fallback
19330	3.666666746	-3.556456	4.408069	0.130509	global_min_fallback
15152	4.500000000	-4.388471	1.729335	0.094462	global_min_fallback
16853	5.500000000	-2.556653	1.756863	0.054779	global_min_fallback
25845	4.333333492	-1.484617	0.695904	0.022924	global_min_fallback
3657	4.000000000	-4.705241	1.774334	0.114999	global_min_fallback
13323	4.000000000	-3.352453	6.181447	0.173198	global_min_fallback
7575	3.250000000	-3.941844	3.685610	0.130959	global_min_fallback
1622	5.666666508	-1.300049	0.150653	0.004745	global_min_fallback
3541	6.000000000	-0.343895	0.000000	0.000000	global_min_fallback
22930	5.166666508	-9.688541	3.954016	0.170142	global_min_fallback
11347	4.916666508	-2.284293	2.833813	0.086950	global_min_fallback
26050	6.000000000	-0.374090	0.000000	0.000000	global_min_fallback
12405	3.916666746	-5.207363	5.677845	0.186567	global_min_fallback
14046	3.666666746	-3.907314	3.122088	0.149710	global_min_fallback
8696	5.666666508	-4.991560	3.165625	0.096515	global_min_fallback
8433	4.416666508	-9.250487	6.097098	0.238945	global_min_fallback
7180	4.083333492	-5.219032	4.293882	0.127515	global_min_fallback
11398	5.166666508	-4.936268	4.120519	0.122917	global_min_fallback
862	6.000000000	-12.640358	0.000000	0.081291	global_min_fallback
12870	4.833333492	-3.901280	5.446627	0.156400	global_min_fallback
26962	6.000000000	-4.018261	0.000000	0.000000	global_min_fallback
22814	6.000000000	-0.329947	0.000000	0.000000	global_min_fallback
27113	4.000000000	-4.759377	2.941814	0.106975	global_min_fallback
12456	6.000000000	-9.372958	0.000000	0.000000	global_min_fallback
776	6.000000000	-0.350667	0.000000	0.000000	global_min_fallback
12949	4.750000000	-0.628458	1.810403	0.056413	global_min_fallback
8871	6.000000000	-0.339532	0.000000	0.000000	global_min_fallback
21864	6.000000000	-0.371316	0.000000	0.000000	global_min_fallback
25308	3.833333254	-3.379088	3.553419	0.162755	global_min_fallback
20240	4.416666508	-12.157713	2.622933	0.217678	global_min_fallback
25493	1.916666627	-0.063713	1.907345	0.059363	global_min_fallback
15034	5.583333492	-7.620906	1.451322	0.112608	global_min_fallback
25236	5.750000000	-8.726656	2.384629	0.139693	global_min_fallback
9763	4.666666508	-8.346034	7.042524	0.257726	global_min_fallback
5071	4.583333492	-1.134249	4.535359	0.133812	global_min_fallback
1466	5.583333492	-3.027541	9.670212	0.336327	local_min
3099	3.583333254	-6.555912	5.603859	0.160103	global_min_fallback
4361	6.000000000	-0.371909	0.000000	0.000000	global_min_fallback
685	5.666666508	-2.297223	1.327752	0.041580	global_min_fallback
8758	6.000000000	-0.762222	0.000000	0.000000	global_min_fallback
906	5.333333492	-2.919429	1.751891	0.094804	global_min_fallback
16888	6.000000000	-5.846222	0.000000	0.000000	global_min_fallback
4742	6.000000000	-0.312091	0.000000	0.000000	global_min_fallback
8252	4.000000000	-1.012746	3.411320	0.103474	global_min_fallback
5050	6.000000000	-0.363825	0.000000	0.000000	global_min_fallback
11588	4.833333492	-4.080669	4.018519	0.120183	global_min_fallback
19729	6.000000000	-0.909709	0.000000	0.000000	global_min_fallback
28987	6.000000000	-7.833439	0.000000	0.000000	global_min_fallback
26793	6.000000000	-0.366881	0.000000	0.000000	global_min_fallback
23230	6.000000000	-0.344441	0.000000	0.000000	global_min_fallback
27550	4.083333492	-9.358805	3.655074	0.179047	global_min_fallback
8144	4.083333492	-0.395733	0.517591	0.016290	global_min_fallback
391	4.166666508	-1.380444	4.838154	0.141528	global_min_fallback
21440	5.333333492	-2.300926	3.967690	0.118812	global_min_fallback
22378	5.500000000	-1.954282	2.138240	0.066346	global_min_fallback
23487	6.000000000	-0.371299	0.000000	0.000000	global_min_fallback
7202	6.000000000	-0.367405	0.000000	0.000000	global_min_fallback
11574	6.000000000	-0.333495	0.000000	0.000000	global_min_fallback
18816	5.416666508	-3.234076	4.100879	0.122392	global_min_fallback
10412	4.750000000	-3.313828	2.821685	0.086597	global_min_fallback
25371	6.000000000	-0.358974	0.000000	0.000000	global_min_fallback
17799	5.333333492	-7.931834	5.759199	0.223254	global_min_fallback
22256	6.000000000	-0.335504	0.000000	0.000000	global_min_fallback
2227	5.750000000	-10.268480	2.434646	0.151730	global_min_fallback
5291	3.333333254	-0.225610	5.370286	0.154582	global_min_fallback
20658	6.000000000	-7.766871	0.000000	0.000000	global_min_fallback
25466	5.166666508	-8.864758	3.875165	0.181133	global_min_fallback
25027	2.666666746	-10.470305	4.265142	0.210294	global_min_fallback
27909	6.000000000	-0.267354	0.000000	0.000000	global_min_fallback
6519	4.000000000	-6.703065	4.036969	0.189358	global_min_fallback
7460	4.750000000	-6.299277	3.104314	0.143808	global_min_fallback
8658	5.500000000	-22.275463	8.036754	0.545005	global_min_fallback
8832	5.666666508	-5.478713	3.019166	0.092316	global_min_fallback
9559	6.000000000	-5.127962	0.000000	0.000000	global_min_fallback
23673	6.000000000	-0.394569	0.000000	0.000000	global_min_fallback
8754	6.000000000	-7.441373	0.000000	0.000000	global_min_fallback
5294	5.750000000	-4.705395	2.290085	0.070903	global_min_fallback
21570	3.583333254	-4.737469	2.756937	0.133648	global_min_fallback
17275	6.000000000	-0.849436	0.000000	0.000000	global_min_fallback
24003	3.416666746	-2.570626	2.360791	0.073014	global_min_fallback
8628	6.000000000	-0.313520	0.000000	0.000000	global_min_fallback
12670	4.166666508	-3.934639	4.737852	0.138995	global_min_fallback
28614	6.000000000	-0.357015	0.000000	0.000000	global_min_fallback
21487	6.000000000	-0.947525	0.000000	0.000000	global_min_fallback
15642	5.250000000	-9.569441	2.256251	0.139621	global_min_fallback
25019	4.083333492	-8.399611	6.131880	0.172106	global_min_fallback
23500	5.833333492	-6.959615	0.567944	0.017871	global_min_fallback
19541	6.000000000	-0.971790	0.000000	0.000000	global_min_fallback
6689	4.583333492	-17.864691	5.018401	0.422788	global_min_fallback
3103	5.000000000	-4.987778	3.023884	0.114250	global_min_fallback
13212	5.416666508	-7.563119	3.101081	0.119162	global_min_fallback
3952	3.166666746	-1.200962	1.520884	0.047542	global_min_fallback
20869	6.000000000	-0.332063	0.000000	0.000000	global_min_fallback
13958	4.416666508	-2.870447	2.883592	0.088397	global_min_fallback
4063	6.000000000	-1.018901	0.000000	0.000000	global_min_fallback
5590	6.000000000	-0.340124	0.000000	0.000000	global_min_fallback
28202	6.000000000	-0.341881	0.000000	0.000000	global_min_fallback
9218	5.333333492	-6.556700	2.514987	0.140458	global_min_fallback
16610	5.083333492	-2.094071	2.080624	0.064610	global_min_fallback
12910	5.916666508	-4.294415	1.606185	0.059605	global_min_fallback
29044	4.916666508	-7.174613	3.262740	0.148837	global_min_fallback
7416	4.166666508	-3.955994	1.952323	0.091085	global_min_fallback
22005	4.000000000	-1.240748	2.172170	0.067367	global_min_fallback
24427	3.083333254	-1.592869	2.641195	0.081316	global_min_fallback
18644	6.000000000	-0.381738	0.000000	0.000000	global_min_fallback
15308	5.500000000	-7.144651	8.397882	0.308564	local_min
19184	6.000000000	-6.926307	0.000000	0.000000	global_min_fallback
10192	5.416666508	-5.707716	4.290629	0.127429	global_min_fallback
2555	6.000000000	-7.874675	0.000000	0.000000	global_min_fallback
10030	4.333333492	-4.836394	7.454355	0.248698	global_min_fallback
28025	4.250000000	-4.745541	2.615728	0.136306	global_min_fallback
24342	4.250000000	-2.918285	4.715132	0.138418	global_min_fallback
25312	6.000000000	-12.483168	0.000000	0.076651	global_min_fallback
2756	4.666666508	-0.697987	4.897456	0.143015	global_min_fallback
8603	3.666666746	-0.437413	1.368562	0.042843	global_min_fallback
18688	4.083333492	-8.092977	4.611647	0.205057	global_min_fallback
22939	2.416666746	-5.144554	2.050104	0.128651	global_min_fallback
11937	6.000000000	-0.356744	0.000000	0.000000	global_min_fallback
5770	6.000000000	-0.355159	0.000000	0.000000	global_min_fallback
16071	4.916666508	-2.513252	3.489382	0.105662	global_min_fallback
12595	5.416666508	-3.080313	4.315194	0.128076	global_min_fallback
5146	3.416666746	-2.349820	3.385917	0.109917	global_min_fallback
26870	6.000000000	-0.376148	0.000000	0.000000	global_min_fallback
29854	3.583333254	-12.702764	5.772996	0.316973	global_min_fallback
23290	5.583333492	-11.164086	5.599658	0.255253	global_min_fallback
16097	6.000000000	-0.983433	0.000000	0.000000	global_min_fallback
499	6.000000000	-0.337253	0.000000	0.000000	global_min_fallback
27318	3.666666746	-4.362533	3.762390	0.113688	global_min_fallback
2448	4.666666508	-1.224691	4.163504	0.124063	global_min_fallback
8415	3.750000000	-3.354270	3.358865	0.101997	global_min_fallback
16073	4.666666508	-7.298008	5.138268	0.217205	global_min_fallback
20678	4.916666508	-2.236301	4.878628	0.142543	global_min_fallback
20631	5.666666508	-3.116334	1.518028	0.047454	global_min_fallback
25655	6.000000000	-0.384837	0.000000	0.000000	global_min_fallback
13946	4.916666508	-5.086233	5.346992	0.154024	global_min_fallback
9967	4.083333492	-2.272507	2.579770	0.079507	global_min_fallback
2546	6.000000000	-0.405251	0.000000	0.000000	global_min_fallback
11382	6.000000000	-0.771513	0.000000	0.000000	global_min_fallback
