1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,-0.027041057,-0.018748693,-0.021035988,-1.683068619,-0.056925183,-0.134899663,-0.463291992,-0.485493296,-0.37820764,-0.32266188,-0.395311562,-6.474498849,-0.199778705,-0.304715413,-0.414013914,-0.412038739,-5.673169564,-1.462843313,-0.342916063,-0.295076465,-0.640140802,-0.630510121,-0.439349049,-0.29805178,-0.215207919,-0.153563887,-0.103116491,-0.186580299,-2.154390677,-0.670435764,-2.585121084,-0.533843112,-0.514175722,-0.530939979,-1.294069379,-0.713820287,-0.787110727,-1.008300927,-1.684042195,-3.187536482,-5.581250462,-0.749538769,-0.768158028,-12.11395501,-7.785467429,-3.086288806,-3.540749357,-6.855090066,-1.758972705,-3.754583226,-8.702690849,-7.420604476,-2.626107201,-1.730992783,-1.386507165,-1.676661241,-2.210715282,-3.24396005,-6.153140654,-6.618802408,-10.15711754
1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,-0.080004474,-0.103834849,-0.028862431,-0.026775354,-0.083982696,-0.04421079,-0.080215895,-0.248233894,-0.362928212,-0.081649068,-0.056243287,-0.068076721,-0.14370279,-1.832510575,-0.23064919,-0.558905712,-0.781670904,-0.863024708,-0.477777687,-0.183420688,-0.113815134,-0.901865312,-0.358088863,-0.301353672,-1.077017375,-0.775387651,-0.694137922,-0.281952645,-2.890533919,-0.51414311,-0.179144932,-0.155189383,-0.202888655,-0.946880173,-4.511896482,-1.069875821,-0.894084381,-2.984670336,-3.230565698,-5.154066436,-2.174735308,-2.566508723,-0.569628086,-1.491722018,-0.554797643,-0.797299564,-3.367389941,-2.48205455,-0.738144917,-0.618181577,-0.560956507,-2.350950145,-0.838844002,-0.820683637,-1.742467448,-2.21241223,-3.83449261,-8.625248287,-1.08722935,-1.141495233,-8.767123502
0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,-0.037498932,-0.082911133,-0.181442214,-0.122417113,-0.113332503,-0.082794736,-0.037593019,-0.015035579,-0.019395296,-0.030966408,-0.088929513,-0.09580306,-0.402251104,-0.030385365,-0.049661442,-0.107309736,-0.526039142,-1.250296832,-0.716182803,-0.253072685,-0.122726437,-0.089582988,-0.139756908,-0.064556897,-0.065882127,-0.062207251,-0.601306469,-0.194005931,-3.71959717,-0.500764678,-0.296229903,-0.261778358,-0.360959374,-0.565508817,-1.273595716,-16.5120032,-4.745340765,-11.75089342,-1.898927554,-3.338208211,-2.484436193,-13.01072669,-6.013978852,-1.775258656,-1.132613756,-0.985121566,-1.526348569,-1.544754519,-1.711489745,-1.736864835,-1.852948169,-1.940814581,-1.892407027,-1.758083231,-1.602225736,-1.504737858,-1.392898511,-1.310203218,-1.322129274,-1.428107896,-1.726586738
1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,-0.011326692,-0.049499456,-0.093620419,-0.293373949,-0.058577948,-0.020769627,-0.073139201,-0.143998938,-0.710524377,-6.034101712,-0.669394152,-0.340033605,-0.077152989,-0.038586213,-0.026980324,-1.306890098,-0.062483923,-0.076094971,-0.378502038,-0.035239458,-0.042564134,-0.062781227,-0.069204743,-0.199727208,-4.847801638,-6.135764084,-0.214213689,-0.169841112,-2.337204818,-2.155710585,-0.674930883,-0.49218474,-0.48899562,-1.050270459,-4.314151284,-2.464681322,-1.341066797,-2.116167465,-3.586566407,-4.147968699,-5.353275267,-5.759985526,-3.464379095,-2.797120282,-2.412325854,-5.374929953,-6.17618577,-9.238138424,-3.596920802,-1.831447708,-1.124060889,-0.79604701,-0.623986943,-0.540118768,-0.545333484,-0.641252589,-0.850122522,-1.168449035,-1.589470073,-1.870271193,-1.775787425
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,-0.006172691,-0.007220034,-0.008593906,-0.009636925,-0.011464031,-0.014684168,-0.015162359,-0.018120134,-0.022795739,-0.023790107,-0.02990941,-0.03511295,-0.040586944,-0.043023529,-0.048251901,-0.057095089,-0.06274944,-0.075638351,-0.111935502,-0.174462777,-0.304466866,-0.629388901,-1.398655617,-1.581096344,-0.857777809,-0.440621605,-0.301258348,-0.210250582,-0.184819203,-0.190904585,-0.216224379,-0.250091282,-0.337736419,-0.49662633,-0.722010226,-1.435277492,-2.970443604,-11.64599621,-4.441503715,-1.583285764,-0.859205991,-0.52292212,-0.375991374,-0.288599862,-0.241935635,-0.21458198,-0.210378045,-0.209619145,-0.214489513,-0.218718751,-0.241343392,-0.270962729,-0.256961266,-0.237540985,-0.239633288,-0.249364577,-0.246045349,-0.238144324,-0.254990645,-0.324255644,-0.401940743
0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,-0.00303331,-0.003652837,-0.005025517,-0.004961759,-0.006340516,-0.007972284,-0.009976399,-0.012425932,-0.015154321,-0.018601544,-0.021981142,-0.025614586,-0.029789591,-0.042091902,-0.031542811,-0.060165369,-0.031456599,-0.037362527,-0.049680922,-0.056311409,-0.062591596,-0.068426053,-0.074059661,-0.079339944,-0.086750814,-0.09605764,-0.102191745,-0.112980293,-0.131259847,-0.136907309,-0.15661428,-0.148629732,-0.204003135,-0.142849995,-0.148949969,-0.162577888,-0.147762307,-0.176182594,-0.137093171,-0.134753588,-0.129970144,-0.118559672,-0.123253482,-0.120187804,-0.121910732,-0.121685564,-0.122659134,-0.130215823,-0.142543487,-0.149283277,-0.151477387,-0.1565291,-0.165884594,-0.196267641,-0.208930075,-0.194268477,-0.231310784,-0.243497938,-0.260906348,-0.303159267,-0.344791373
0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,-0.030681426,-0.032601323,-0.032259821,-0.027054218,-0.022270257,-3.581954864,-0.160568794,-0.534233141,-0.264750507,-0.35182897,-1.039902681,-0.794464918,-1.098993133,-1.017863861,-0.445807352,-0.842262724,-0.107205762,-0.111941481,-0.532274657,-0.674411322,-0.373964992,-0.896532341,-2.621916692,-1.845145185,-0.687153628,-2.065259589,-1.750457565,-1.146617157,-0.694768647,-0.802503231,-0.60214015,-8.613014005,-0.94215025,-0.936633493,-1.861665727,-3.888787367,-1.959498946,-1.772133071,-2.057723213,-4.343705216,-6.684461958,-3.527728914,-4.620275899,-6.456844171,-2.882414754,-1.512128289,-1.032224439,-0.86348205,-1.616262726,-1.919754275,-1.624191381,-3.400463784,-1.680060476,-0.777155229,-1.098875983,-1.951765313,-0.832068024,-1.138449343,-2.35124563,-1.200614335,-1.184788419
0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,-0.236751034,-0.041278202,-0.612772386,-0.639216931,-0.11059931,-0.067542904,-1.135067293,-0.087690839,-0.092853439,-0.135440623,-0.50800786,-0.321675067,-0.092872983,-0.041291468,-0.069159174,-0.161352695,-7.40181574,-1.539445546,-0.3132558,-0.147141021,-0.354259774,-0.26895703,-0.435858664,-0.504444293,-0.413447081,-0.323585193,-0.465056484,-0.384320407,-0.347063691,-0.395934833,-0.619182854,-0.174438805,-0.28396809,-1.015670806,-1.017077418,-0.137954825,-0.149528704,-0.154495217,-0.189959727,-0.760719449,-2.048823551,-14.73671717,-0.973688962,-0.486141886,-0.427604956,-0.353359309,-0.586720016,-5.97589025,-0.885682134,-0.608446936,-0.554484088,-2.618302878,-8.483866328,-6.525368438,-3.903402314,-3.668155276,-2.877332243,-6.470148287,-2.282151915,-1.650344031,-1.33155733
0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,-0.013284501,-0.018755861,-0.027341281,-0.040625397,-0.060909287,-0.112175511,-0.105497547,-0.076681387,-0.044184703,-0.034422914,-0.02981029,-0.028227012,-0.028795234,-0.02609801,-0.026460167,-0.026076907,-0.046268593,-0.063867263,-0.09986167,-0.140036407,-0.267238458,-0.451019891,-0.693876565,-0.882367993,-0.860943453,-0.664850154,-0.588157363,-0.446919797,-0.340234767,-0.275066679,-0.21440652,-0.196288409,-0.175268775,-0.163958105,-0.161489422,-0.160326168,-0.166711829,-0.20151276,-0.204927239,-0.227678682,-0.262803535,-0.313136729,-0.369503859,-0.450931971,-0.572405565,-0.762410146,-1.075920855,-1.841978105,-2.769501124,-2.690132433,-1.901043495,-1.454907167,-1.148893364,-0.986567334,-0.788478648,-0.984314544,-1.049691663,-1.161413151,-1.365725045,-1.718551188,-2.402888689
0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,-0.01958908,-0.01999497,-0.022018551,-0.024963799,-0.024329021,-0.032890808,-0.044219393,-0.062973488,-0.096917405,-0.169927071,-0.308552071,-0.508362509,-0.395162802,-0.246925847,-0.172617213,-0.146694627,-0.147384682,-0.172335479,-0.227330865,-0.29370421,-0.289971709,-0.194755033,-0.110460531,-0.07169757,-0.050130597,-0.039162019,-0.034087088,-0.033018806,-0.039777371,-0.061850053,-0.273543621,-1.590655922,-0.128870681,-0.07664884,-0.071551754,-0.076909433,-0.100853024,-0.166277104,-0.114850065,-0.141058273,-0.299874315,-1.132021397,-0.244747158,-0.211655211,-0.201952574,-0.198735723,-0.200802614,-0.20454303,-0.215170201,-0.210019771,-0.216250581,-0.225876803,-0.231740627,-0.248202946,-0.266241793,-0.383906708,-0.312765337,-0.300462691,-0.299904234,-0.315805286,-0.355561361
