Epoch 001 | batch 1120/40032 | loss 0.992339 | data 0.992339 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1130/40032 | loss 0.993362 | data 0.993362 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1140/40032 | loss 0.994993 | data 0.994993 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1150/40032 | loss 0.996440 | data 0.996440 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1160/40032 | loss 0.996248 | data 0.996248 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1170/40032 | loss 0.997565 | data 0.997565 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1180/40032 | loss 0.994680 | data 0.994680 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1190/40032 | loss 0.995497 | data 0.995497 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1200/40032 | loss 0.996254 | data 0.996254 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1210/40032 | loss 0.996569 | data 0.996569 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1220/40032 | loss 0.993786 | data 0.993786 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1230/40032 | loss 0.991966 | data 0.991966 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1240/40032 | loss 0.991027 | data 0.991026 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1250/40032 | loss 0.991110 | data 0.991110 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1260/40032 | loss 0.993239 | data 0.993239 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1270/40032 | loss 0.994060 | data 0.994060 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1280/40032 | loss 0.996031 | data 0.996031 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1290/40032 | loss 0.997451 | data 0.997451 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1300/40032 | loss 0.998185 | data 0.998185 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1310/40032 | loss 0.998979 | data 0.998979 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1320/40032 | loss 0.998043 | data 0.998043 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1330/40032 | loss 0.997905 | data 0.997905 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1340/40032 | loss 0.996343 | data 0.996343 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1350/40032 | loss 0.993699 | data 0.993699 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1360/40032 | loss 0.994512 | data 0.994512 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1370/40032 | loss 0.993561 | data 0.993561 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1380/40032 | loss 0.995342 | data 0.995342 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1390/40032 | loss 0.995754 | data 0.995754 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1400/40032 | loss 0.995288 | data 0.995288 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1410/40032 | loss 0.997034 | data 0.997034 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1420/40032 | loss 0.994918 | data 0.994918 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1430/40032 | loss 0.997642 | data 0.997642 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1440/40032 | loss 0.996939 | data 0.996939 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1450/40032 | loss 0.999773 | data 0.999773 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1460/40032 | loss 1.000339 | data 1.000339 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1470/40032 | loss 0.999609 | data 0.999609 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1480/40032 | loss 0.997975 | data 0.997975 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1490/40032 | loss 0.998707 | data 0.998707 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1500/40032 | loss 0.998031 | data 0.998031 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1510/40032 | loss 0.998989 | data 0.998989 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1520/40032 | loss 0.999192 | data 0.999192 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1530/40032 | loss 0.998052 | data 0.998052 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1540/40032 | loss 0.999279 | data 0.999279 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1550/40032 | loss 0.998830 | data 0.998830 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1560/40032 | loss 0.997300 | data 0.997300 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1570/40032 | loss 0.995728 | data 0.995728 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1580/40032 | loss 0.996315 | data 0.996315 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1590/40032 | loss 0.996538 | data 0.996538 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1600/40032 | loss 0.996034 | data 0.996034 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1610/40032 | loss 0.995239 | data 0.995239 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1620/40032 | loss 0.995692 | data 0.995692 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1630/40032 | loss 0.996911 | data 0.996911 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1640/40032 | loss 0.994859 | data 0.994859 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1650/40032 | loss 0.994451 | data 0.994451 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1660/40032 | loss 0.995063 | data 0.995063 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1670/40032 | loss 0.994905 | data 0.994905 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1680/40032 | loss 0.993867 | data 0.993867 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1690/40032 | loss 0.993178 | data 0.993177 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1700/40032 | loss 0.991973 | data 0.991973 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1710/40032 | loss 0.991378 | data 0.991378 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1720/40032 | loss 0.992680 | data 0.992680 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1730/40032 | loss 0.992959 | data 0.992959 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1740/40032 | loss 0.992836 | data 0.992836 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1750/40032 | loss 0.993185 | data 0.993185 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1760/40032 | loss 0.993307 | data 0.993307 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1770/40032 | loss 0.992131 | data 0.992131 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1780/40032 | loss 0.992154 | data 0.992154 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1790/40032 | loss 0.993256 | data 0.993256 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1800/40032 | loss 0.993326 | data 0.993326 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1810/40032 | loss 0.991945 | data 0.991945 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1820/40032 | loss 0.991897 | data 0.991897 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1830/40032 | loss 0.990601 | data 0.990601 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1840/40032 | loss 0.990800 | data 0.990800 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1850/40032 | loss 0.989671 | data 0.989671 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1860/40032 | loss 0.991125 | data 0.991125 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1870/40032 | loss 0.990509 | data 0.990509 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1880/40032 | loss 0.990899 | data 0.990899 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1890/40032 | loss 0.992243 | data 0.992243 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1900/40032 | loss 0.992494 | data 0.992494 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1910/40032 | loss 0.991723 | data 0.991723 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1920/40032 | loss 0.991121 | data 0.991121 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1930/40032 | loss 0.991104 | data 0.991104 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1940/40032 | loss 0.991285 | data 0.991285 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1950/40032 | loss 0.991427 | data 0.991427 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1960/40032 | loss 0.992197 | data 0.992197 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1970/40032 | loss 0.992249 | data 0.992249 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1980/40032 | loss 0.991163 | data 0.991163 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 1990/40032 | loss 0.991849 | data 0.991849 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2000/40032 | loss 0.991943 | data 0.991943 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2010/40032 | loss 0.991114 | data 0.991114 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2020/40032 | loss 0.990357 | data 0.990357 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2030/40032 | loss 0.990899 | data 0.990899 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2040/40032 | loss 0.990754 | data 0.990754 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2050/40032 | loss 0.990346 | data 0.990346 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2060/40032 | loss 0.990360 | data 0.990360 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2070/40032 | loss 0.990334 | data 0.990334 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2080/40032 | loss 0.989933 | data 0.989933 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2090/40032 | loss 0.989800 | data 0.989800 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2100/40032 | loss 0.988137 | data 0.988137 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2110/40032 | loss 0.987316 | data 0.987316 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2120/40032 | loss 0.988059 | data 0.988059 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2130/40032 | loss 0.987751 | data 0.987751 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2140/40032 | loss 0.988286 | data 0.988286 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2150/40032 | loss 0.988837 | data 0.988837 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2160/40032 | loss 0.990101 | data 0.990101 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2170/40032 | loss 0.989743 | data 0.989743 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2180/40032 | loss 0.989951 | data 0.989951 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2190/40032 | loss 0.987935 | data 0.987935 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2200/40032 | loss 0.986934 | data 0.986934 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2210/40032 | loss 0.986989 | data 0.986989 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2220/40032 | loss 0.987514 | data 0.987514 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2230/40032 | loss 0.988067 | data 0.988067 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2240/40032 | loss 0.987379 | data 0.987378 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2250/40032 | loss 0.988065 | data 0.988065 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2260/40032 | loss 0.988337 | data 0.988337 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2270/40032 | loss 0.990173 | data 0.990173 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2280/40032 | loss 0.990040 | data 0.990040 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2290/40032 | loss 0.989104 | data 0.989104 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2300/40032 | loss 0.988771 | data 0.988771 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2310/40032 | loss 0.988500 | data 0.988500 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2320/40032 | loss 0.988413 | data 0.988413 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2330/40032 | loss 0.987553 | data 0.987553 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2340/40032 | loss 0.988292 | data 0.988292 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2350/40032 | loss 0.987431 | data 0.987431 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2360/40032 | loss 0.988374 | data 0.988374 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2370/40032 | loss 0.988900 | data 0.988900 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2380/40032 | loss 0.988478 | data 0.988478 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2390/40032 | loss 0.991959 | data 0.991959 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2400/40032 | loss 0.992982 | data 0.992982 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2410/40032 | loss 0.992862 | data 0.992862 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2420/40032 | loss 0.992899 | data 0.992899 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2430/40032 | loss 0.992014 | data 0.992014 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2440/40032 | loss 0.992371 | data 0.992371 | passive 0.000001 | lr 5.000000e-04
